time  qps  nocache  rocksdb  calcspar
1218  0  1000  0  0
1219  0  1000  0  0
1220  0  1000  0  0
1221  0  1000  0  0
1222  0  1000  0  0
1223  0  1000  0  0
1224  0  1000  0  0
1225  0  1000  0  0
1226  0  1000  0  0
1227  0  1000  0  0
1228  0  1000  0  0
1229  0  1000  0  0
1230  0  1000  0  0
1231  0  1000  0  0
1232  0  1000  0  0
1233  0  1000  0  0
1234  0  1000  0  0
1235  0  1000  0  0
1236  0  1000  0  0
1237  0  1000  0  0
1238  0  1000  0  0
1239  0  1000  0  0
1240  0  987  0  0
1241  0  1013  0  0
1242  0  1000  0  0
1243  0  972  0  0
1244  0  980  0  0
1245  0  912  0  0
1246  0  903  0  0
1247  0  886  0  0
1248  0  885  0  0
1249  0  859  0  0
1250  0  829  0  0
1251  0  815  0  0
1252  0  787  0  0
1253  0  812  0  0
1254  0  798  0  0
1255  0  774  0  0
1256  0  803  0  0
1257  0  774  0  0
1258  0  734  0  0
1259  0  710  0  0
1260  0  694  0  0
1261  0  684  0  0
1262  0  669  0  0
1263  0  587  0  0
1264  0  728  0  0
1265  0  637  0  0
1266  0  604  0  0
1267  0  606  0  0
1268  0  608  0  0
1269  0  649  0  0
1270  0  661  0  0
1271  0  593  0  0
1272  0  570  0  0
1273  0  645  0  0
1274  0  567  0  0
1275  0  662  0  0
1276  0  645  0  0
1277  0  616  0  0
1278  0  595  0  0
1279  0  581  0  0
1280  0  618  0  0
1281  0  651  0  0
1282  0  636  0  0
1283  0  599  0  0
1284  0  609  0  0
1285  0  562  0  0
1286  0  705  0  0
1287  0  663  0  0
1288  0  654  0  0
1289  0  661  0  0
1290  0  672  0  0
1291  0  675  0  0
1292  0  690  0  0
1293  0  691  0  0
1294  0  697  0  0
1295  0  738  0  0
1296  0  672  0  0
1297  0  887  0  0
1298  0  716  0  0
1299  0  766  0  0
1300  0  791  0  0
1301  0  820  0  0
1302  0  796  0  0
1303  0  843  0  0
1304  0  862  0  0
1305  0  865  0  0
1306  0  855  0  0
1307  0  919  0  0
1308  0  929  0  0
1309  0  930  0  0
1310  0  935  0  0
1311  0  1006  0  0
1312  0  1045  0  0
1313  0  1080  0  0
1314  0  1049  0  0
1315  0  1072  0  0
1316  0  1104  0  0
1317  0  1089  0  0
1318  0  1136  0  0
1319  0  1147  0  0
1320  0  1165  0  0
1321  0  1087  0  0
1322  0  1000  0  0
1323  0  1000  0  0
1324  0  1000  0  0
1325  0  1000  0  0
1326  0  1000  0  0
1327  0  1000  0  0
1328  0  1000  0  0
1329  0  1000  0  0
1330  0  1000  0  0
1331  0  1000  0  0
1332  0  1000  0  0
1333  0  1000  0  0
1334  0  1000  0  0
1335  0  1000  0  0
1336  0  1001  0  0
1337  0  1000  0  0
1338  0  999  0  0
1339  0  1001  0  0
1340  0  1000  0  0
1341  0  1000  0  0
1342  0  1000  0  0
1343  0  1000  0  0
1344  0  1000  0  0
1345  0  1000  0  0
1346  0  1000  0  0
1347  0  1000  0  0
1348  0  1000  0  0
1349  0  1000  0  0
1350  0  402  0  0
