time  qps   sumio   l0   l1    l2    l3    l4    l5  l6  l7  l8  l9 
774   3492  8011    1736  1366  2118  2791  0  0  0  0  0  0  
775   4085  8254    1777  1435  2202  2840  0  0  0  0  0  0  
776   3700  8299    1917  1399  2122  2861  0  0  0  0  0  0  
777   3880  8807    2028  1473  2292  3014  0  0  0  0  0  0  
778   3908  8708    1968  1499  2283  2958  0  0  0  0  0  0  
779   4030  8966    1963  1534  2364  3105  0  0  0  0  0  0  
780   4004  8908    1965  1496  2332  3115  0  0  0  0  0  0  
781   4199  9270    2044  1595  2418  3213  0  0  0  0  0  0  
783   4200  9440    2137  1629  2474  3200  0  0  0  0  0  0  
784   4303  9620    2099  1650  2528  3343  0  0  0  0  0  0  
785   4405  9990    2268  1721  2563  3438  0  0  0  0  0  0  
786   4425  10256    2320  1780  2644  3512  0  0  0  0  0  0  
787   4548  10010    2222  1729  2612  3447  0  0  0  0  0  0  
788   4967  10331    2343  1731  2704  3553  0  0  0  0  0  0  
789   5079  10440    2319  1796  2728  3597  0  0  0  0  0  0  
790   5230  10541    2416  1794  2711  3620  0  0  0  0  0  0  
791   5231  10863    2500  1817  2813  3733  0  0  0  0  0  0  
793   5309  10788    2315  1895  2874  3704  0  0  0  0  0  0  
794   5380  11041    2395  1888  2927  3831  0  0  0  0  0  0  
795   5471  11153    2493  1909  2906  3845  0  0  0  0  0  0  
796   5455  11471    2535  1930  3036  3970  0  0  0  0  0  0  
797   5691  11703    2637  1989  3036  4041  0  0  0  0  0  0  
798   5743  11633    2566  1968  3089  4010  0  0  0  0  0  0  
799   5747  11809    2720  1990  3077  4022  0  0  0  0  0  0  
800   5883  12000    2710  2049  3166  4075  0  0  0  0  0  0  
801   5942  11985    2610  2048  3197  4130  0  0  0  0  0  0  
802   6021  12141    2723  2090  3119  4209  0  0  0  0  0  0  
804   5517  12306    2809  2079  3198  4220  0  0  0  0  0  0  
805   5549  12342    2689  2106  3245  4302  0  0  0  0  0  0  
806   5586  12510    2763  2148  3276  4323  0  0  0  0  0  0  
807   5694  12395    2720  2103  3265  4307  0  0  0  0  0  0  
808   5570  12342    2719  2113  3226  4284  0  0  0  0  0  0  
809   5652  13016    2917  2242  3372  4485  0  0  0  0  0  0  
810   5858  12962    2895  2226  3408  4433  0  0  0  0  0  0  
811   5746  12495    2747  2139  3265  4344  0  0  0  0  0  0  
812   5740  13098    3003  2224  3400  4471  0  0  0  0  0  0  
813   5940  12806    2730  2212  3400  4464  0  0  0  0  0  0  
815   5797  13207    3019  2230  3430  4528  0  0  0  0  0  0  
816   6543  13081    2871  2233  3453  4524  0  0  0  0  0  0  
817   6523  13241    2919  2248  3495  4579  0  0  0  0  0  0  
818   6513  12865    2749  2201  3382  4533  0  0  0  0  0  0  
819   6506  13281    2903  2268  3505  4605  0  0  0  0  0  0  
820   6546  13281    2987  2282  3473  4539  0  0  0  0  0  0  
821   5926  13057    2929  2218  3400  4510  0  0  0  0  0  0  
822   5983  13166    2939  2196  3434  4597  0  0  0  0  0  0  
823   5891  13092    2933  2209  3476  4474  0  0  0  0  0  0  
825   6080  13358    2949  2297  3503  4609  0  0  0  0  0  0  
826   5915  13481    3036  2297  3469  4679  0  0  0  0  0  0  
827   5980  13128    2858  2229  3446  4595  0  0  0  0  0  0  
828   5951  13181    2870  2246  3491  4574  0  0  0  0  0  0  
829   5946  13227    2976  2260  3464  4527  0  0  0  0  0  0  
830   6000  12081    2733  2068  3152  4128  0  0  0  0  0  0  
831   5990  13099    2827  2213  3461  4598  0  0  0  0  0  0  
832   5977  13340    3099  2282  3444  4515  0  0  0  0  0  0  
833   5865  13058    2974  2236  3369  4479  0  0  0  0  0  0  
834   6396  12591    2649  2174  3367  4401  0  0  0  0  0  0  
835   6379  13248    3055  2279  3423  4491  0  0  0  0  0  0  
837   6400  12776    2780  2203  3381  4412  0  0  0  0  0  0  
838   6362  11901    2645  2025  3137  4094  0  0  0  0  0  0  
839   5847  12470    2778  2167  3263  4262  0  0  0  0  0  0  
840   6291  12641    2776  2122  3395  4348  0  0  0  0  0  0  
841   5615  12281    2650  2125  3263  4243  0  0  0  0  0  0  
842   5674  12538    2880  2128  3215  4315  0  0  0  0  0  0  
843   5642  12502    2761  2134  3281  4326  0  0  0  0  0  0  
844   5540  11780    2464  2040  3097  4179  0  0  0  0  0  0  
845   5442  11996    2651  2074  3139  4132  0  0  0  0  0  0  
846   5391  12182    2875  2036  3098  4173  0  0  0  0  0  0  
848   5368  11672    2542  1969  3075  4086  0  0  0  0  0  0  
849   5345  11602    2640  1988  2989  3985  0  0  0  0  0  0  
850   5168  11650    2698  2012  2989  3951  0  0  0  0  0  0  
851   5280  11567    2679  1951  2983  3954  0  0  0  0  0  0  
852   5216  11428    2588  1927  3016  3897  0  0  0  0  0  0  
853   5703  11140    2513  1901  2899  3827  0  0  0  0  0  0  
854   5545  11180    2491  1906  2957  3826  0  0  0  0  0  0  
855   5530  10898    2379  1875  2844  3800  0  0  0  0  0  0  
856   5399  10417    2251  1784  2720  3662  0  0  0  0  0  0  
857   5276  10571    2361  1789  2767  3654  0  0  0  0  0  0  
859   5241  10259    2271  1782  2698  3508  0  0  0  0  0  0  
860   5082  10448    2382  1766  2772  3528  0  0  0  0  0  0  
861   5122  10354    2415  1808  2674  3457  0  0  0  0  0  0  
862   4998  10111    2241  1704  2643  3523  0  0  0  0  0  0  
863   4371  9672    2220  1612  2517  3323  0  0  0  0  0  0  
864   4273  9545    2156  1609  2492  3288  0  0  0  0  0  0  
865   4241  9488    2157  1635  2458  3238  0  0  0  0  0  0  
866   4228  9387    2114  1585  2502  3186  0  0  0  0  0  0  
867   4135  9240    2132  1594  2400  3114  0  0  0  0  0  0  
868   4033  9239    2058  1585  2415  3181  0  0  0  0  0  0  
870   4111  8806    1950  1520  2329  3007  0  0  0  0  0  0  
871   3830  8649    1974  1467  2242  2966  0  0  0  0  0  0  
872   3799  8173    1755  1410  2194  2814  0  0  0  0  0  0  
873   3649  7840    1668  1357  2038  2777  0  0  0  0  0  0  
874   3655  8418    1984  1415  2174  2845  0  0  0  0  0  0  
875   3602  7838    1671  1348  2085  2734  0  0  0  0  0  0  
876   3503  7532    1663  1318  1959  2592  0  0  0  0  0  0  
877   3395  7625    1651  1317  2017  2640  0  0  0  0  0  0  
878   3328  7396    1731  1238  1934  2493  0  0  0  0  0  0  
879   3289  7347    1599  1264  1955  2529  0  0  0  0  0  0  
881   3230  7095    1579  1212  1888  2416  0  0  0  0  0  0  
882   3083  6841    1581  1158  1772  2330  0  0  0  0  0  0  
883   3049  6829    1509  1196  1777  2347  0  0  0  0  0  0  
884   3095  6763    1533  1171  1763  2296  0  0  0  0  0  0  
885   2974  6315    1309  1071  1699  2236  0  0  0  0  0  0  
886   3106  6395    1448  1098  1667  2182  0  0  0  0  0  0  
887   2738  6055    1349  1048  1556  2102  0  0  0  0  0  0  
888   2706  5794    1258  960  1546  2030  0  0  0  0  0  0  
889   2643  5979    1317  1026  1583  2053  0  0  0  0  0  0  
890   2662  5747    1321  972  1477  1977  0  0  0  0  0  0  
892   2596  5887    1350  991  1532  2014  0  0  0  0  0  0  
893   2482  5501    1303  931  1410  1857  0  0  0  0  0  0  
894   2394  5513    1294  916  1424  1879  0  0  0  0  0  0  
895   2460  5261    1184  902  1384  1791  0  0  0  0  0  0  
896   2354  5047    1056  857  1350  1784  0  0  0  0  0  0  
897   2325  5087    1064  886  1354  1783  0  0  0  0  0  0  
898   2339  5027    1080  867  1373  1707  0  0  0  0  0  0  
899   2489  4971    1136  828  1288  1719  0  0  0  0  0  0  
900   2504  4929    1036  856  1310  1727  0  0  0  0  0  0  
901   2470  4661    1047  797  1219  1598  0  0  0  0  0  0  
903   2323  4820    1195  820  1223  1582  0  0  0  0  0  0  
904   2257  5023    1145  885  1328  1665  0  0  0  0  0  0  
905   2445  4730    1081  814  1206  1629  0  0  0  0  0  0  
906   2313  4479    922  778  1205  1574  0  0  0  0  0  0  
907   2270  4489    957  765  1188  1579  0  0  0  0  0  0  
908   2270  4605    1040  792  1190  1583  0  0  0  0  0  0  
909   2242  4478    978  758  1182  1560  0  0  0  0  0  0  
910   2009  4528    998  794  1190  1546  0  0  0  0  0  0  
911   2064  4655    1080  808  1172  1595  0  0  0  0  0  0  
912   2005  4701    1153  806  1178  1564  0  0  0  0  0  0  
914   2025  4546    1085  784  1185  1492  0  0  0  0  0  0  
915   1913  4369    1019  734  1121  1495  0  0  0  0  0  0  
916   1980  4316    909  742  1129  1536  0  0  0  0  0  0  
917   2024  4455    935  762  1171  1587  0  0  0  0  0  0  
918   2047  4508    1038  737  1195  1538  0  0  0  0  0  0  
919   2070  4525    1014  779  1211  1521  0  0  0  0  0  0  
920   2008  4320    892  729  1148  1551  0  0  0  0  0  0  
921   2000  4714    1046  797  1222  1649  0  0  0  0  0  0  
922   2321  4572    993  786  1202  1591  0  0  0  0  0  0  
924   2315  4823    1060  836  1247  1680  0  0  0  0  0  0  
925   2362  4686    1048  784  1231  1623  0  0  0  0  0  0  
926   2181  4982    1082  848  1324  1728  0  0  0  0  0  0  
927   2251  4880    1085  812  1302  1681  0  0  0  0  0  0  
928   2272  5405    1283  928  1405  1789  0  0  0  0  0  0  
929   2319  5079    1126  860  1326  1767  0  0  0  0  0  0  
930   2255  5055    1148  873  1322  1712  0  0  0  0  0  0  
931   2403  5329    1218  927  1369  1815  0  0  0  0  0  0  
932   2370  5267    1177  895  1397  1798  0  0  0  0  0  0  
933   2430  5370    1123  945  1422  1880  0  0  0  0  0  0  
935   2476  5632    1273  932  1476  1951  0  0  0  0  0  0  
936   2584  5923    1376  1007  1513  2027  0  0  0  0  0  0  
937   2635  5907    1404  1008  1481  2014  0  0  0  0  0  0  
938   2893  5634    1176  964  1494  2000  0  0  0  0  0  0  
939   2891  6008    1309  1015  1616  2068  0  0  0  0  0  0  
940   3002  6261    1437  1071  1636  2117  0  0  0  0  0  0  
941   3095  6097    1291  1037  1648  2121  0  0  0  0  0  0  
942   3095  6420    1425  1071  1674  2250  0  0  0  0  0  0  
943   3201  6721    1528  1150  1748  2295  0  0  0  0  0  0  
944   3292  7084    1686  1241  1797  2360  0  0  0  0  0  0  
946   3359  7114    1615  1211  1859  2429  0  0  0  0  0  0  
947   3492  7189    1720  1194  1837  2438  0  0  0  0  0  0  
948   3486  7479    1764  1275  1933  2507  0  0  0  0  0  0  
949   3644  7349    1590  1268  1952  2539  0  0  0  0  0  0  
950   3730  7673    1762  1333  2002  2576  0  0  0  0  0  0  
951   3432  7496    1593  1300  1998  2605  0  0  0  0  0  0  
952   3458  7725    1672  1349  2020  2684  0  0  0  0  0  0  
953   3617  8073    1784  1356  2139  2794  0  0  0  0  0  0  
954   3716  8255    1834  1385  2160  2876  0  0  0  0  0  0  
955   3757  8285    1809  1403  2182  2891  0  0  0  0  0  0  
957   3753  8457    1927  1400  2219  2911  0  0  0  0  0  0  
958   3908  9026    1998  1540  2361  3127  0  0  0  0  0  0  
959   4041  8682    1864  1453  2326  3039  0  0  0  0  0  0  
960   3995  8826    1843  1482  2339  3162  0  0  0  0  0  0  
961   4180  9155    2063  1559  2387  3146  0  0  0  0  0  0  
962   4543  8959    1921  1551  2340  3147  0  0  0  0  0  0  
963   4332  9412    2054  1596  2462  3300  0  0  0  0  0  0  
964   4266  9560    2134  1667  2484  3275  0  0  0  0  0  0  
965   4401  9733    2115  1650  2600  3368  0  0  0  0  0  0  
966   4488  9879    2163  1674  2634  3408  0  0  0  0  0  0  
968   4567  10118    2226  1710  2616  3566  0  0  0  0  0  0  
969   4722  10416    2295  1814  2727  3580  0  0  0  0  0  0  
970   4729  10886    2409  1897  2830  3750  0  0  0  0  0  0  
971   4765  10664    2373  1826  2782  3683  0  0  0  0  0  0  
972   4853  11041    2631  1850  2831  3729  0  0  0  0  0  0  
973   4892  11112    2457  1893  2890  3872  0  0  0  0  0  0  
974   5062  11458    2598  1956  2921  3983  0  0  0  0  0  0  
975   5587  11237    2517  1954  2922  3844  0  0  0  0  0  0  
976   5639  11526    2480  2022  3086  3938  0  0  0  0  0  0  
977   5689  11628    2660  1975  3030  3963  0  0  0  0  0  0  
979   5791  11667    2488  1989  3094  4096  0  0  0  0  0  0  
980   5938  11742    2529  2032  3129  4052  0  0  0  0  0  0  
981   5485  12117    2510  2127  3218  4262  0  0  0  0  0  0  
982   5577  12546    2944  2123  3239  4240  0  0  0  0  0  0  
983   5480  12287    2800  2082  3179  4226  0  0  0  0  0  0  
984   5493  12527    2849  2166  3253  4259  0  0  0  0  0  0  
985   5582  12171    2643  2041  3239  4248  0  0  0  0  0  0  
986   5600  12413    2669  2117  3287  4340  0  0  0  0  0  0  
987   5689  12647    2859  2177  3283  4328  0  0  0  0  0  0  
988   5730  12758    2647  2176  3436  4499  0  0  0  0  0  0  
990   5773  13004    2997  2251  3326  4430  0  0  0  0  0  0  
991   5671  12871    2818  2203  3363  4487  0  0  0  0  0  0  
992   5898  13183    2990  2253  3423  4517  0  0  0  0  0  0  
993   6434  13018    2898  2212  3373  4535  0  0  0  0  0  0  
994   6434  12668    2813  2188  3270  4397  0  0  0  0  0  0  
995   6317  13164    2979  2207  3416  4562  0  0  0  0  0  0  
996   6473  13272    2976  2285  3504  4507  0  0  0  0  0  0  
997   6496  13350    3049  2262  3466  4573  0  0  0  0  0  0  
998   6584  13213    2807  2296  3482  4628  0  0  0  0  0  0  
1000   6615  13169    2834  2255  3459  4621  0  0  0  0  0  0  
1001   6582  13218    2925  2253  3480  4560  0  0  0  0  0  0  
1002   5945  13355    3072  2287  3450  4546  0  0  0  0  0  0  
1003   5915  13390    3074  2287  3514  4515  0  0  0  0  0  0  
1004   5914  13328    2916  2268  3525  4619  0  0  0  0  0  0  
1005   5954  13292    3037  2242  3389  4624  0  0  0  0  0  0  
1006   5923  13395    3001  2353  3494  4547  0  0  0  0  0  0  
1007   5955  13399    3010  2340  3482  4567  0  0  0  0  0  0  
1008   5925  12206    2691  2131  3216  4168  0  0  0  0  0  0  
