ratio	DB	avg	lat
100%	RocksDB	0.398	0.398
100%	RocksDB	0.335	0.502
100%	RocksDB	0.331	0.46
100%	RocksDB	0.333	0.567
100%	RocksDB	0.332	0.497
100%	RocksDB	0.331	0.568
100%	RocksDB	0.333	0.563
100%	RocksDB	0.331	0.573
100%	RocksDB	0.33	0.568
100%	RocksDB	0.328	0.562
100%	RocksDB	0.327	0.566
100%	RocksDB	0.329	0.541
100%	RocksDB	0.326	0.565
100%	RocksDB	0.331	0.551
100%	RocksDB	0.334	0.575
100%	RocksDB	0.338	0.569
100%	RocksDB	0.328	0.534
100%	RocksDB	0.322	0.542
100%	RocksDB	0.327	0.502
100%	RocksDB	0.326	0.569
100%	RocksDB	0.325	0.559
100%	RocksDB	0.327	0.521
100%	RocksDB	0.325	0.568
100%	RocksDB	0.324	0.566
100%	RocksDB	0.329	0.567
100%	RocksDB	0.337	0.572
100%	RocksDB	0.357	0.573
100%	RocksDB	0.357	0.521
100%	RocksDB	0.341	0.574
100%	RocksDB	0.317	0.503
100%	RocksDB	0.323	0.568
100%	RocksDB	0.324	0.518
100%	RocksDB	0.319	0.478
100%	RocksDB	0.316	0.49
100%	RocksDB	0.323	0.565
100%	RocksDB	0.32	0.472
100%	RocksDB	0.318	0.501
100%	RocksDB	0.315	0.532
100%	RocksDB	0.32	0.565
100%	RocksDB	0.31	0.47
100%	RocksDB	0.318	0.566
100%	RocksDB	0.311	0.563
100%	RocksDB	0.312	0.537
100%	RocksDB	0.313	0.564
100%	RocksDB	0.309	0.564
100%	RocksDB	0.306	0.509
100%	RocksDB	0.308	0.52
100%	RocksDB	0.311	0.52
100%	RocksDB	0.31	0.543
100%	RocksDB	0.312	0.476
100%	RocksDB	0.306	0.559
100%	RocksDB	0.318	0.569
100%	RocksDB	0.315	0.566
100%	RocksDB	0.316	0.571
100%	RocksDB	0.308	0.503
100%	RocksDB	0.305	0.558
100%	RocksDB	0.309	0.468
100%	RocksDB	0.304	0.566
100%	RocksDB	0.305	0.567
100%	RocksDB	0.304	0.568
100%	RocksDB	0.303	0.568
100%	RocksDB	0.298	0.565
100%	RocksDB	0.302	0.574
100%	RocksDB	0.318	0.719
100%	RocksDB	0.301	0.57
100%	RocksDB	0.309	0.576
100%	RocksDB	0.307	0.579
100%	RocksDB	0.339	1.164
100%	RocksDB	0.86	1.297
100%	RocksDB	0.874	1.295
100%	RocksDB	0.858	1.296
100%	RocksDB	0.863	1.297
100%	RocksDB	0.868	1.297
100%	RocksDB	0.87	1.296
100%	RocksDB	0.879	1.295
100%	RocksDB	0.876	1.297
100%	RocksDB	0.862	1.296
100%	RocksDB	0.872	1.296
100%	RocksDB	0.866	1.296
100%	RocksDB	0.85	1.297
100%	RocksDB	0.849	1.297
100%	RocksDB	0.858	1.295
100%	RocksDB	0.846	1.295
100%	RocksDB	0.839	1.296
100%	RocksDB	0.849	1.295
100%	RocksDB	0.849	1.295
100%	RocksDB	0.845	1.231
100%	RocksDB	0.856	1.295
100%	RocksDB	0.832	1.296
100%	RocksDB	0.827	1.283
100%	RocksDB	0.846	1.268
100%	RocksDB	0.85	1.283
100%	RocksDB	0.833	1.295
100%	RocksDB	0.832	1.534
100%	RocksDB	0.821	1.339
100%	RocksDB	0.807	1.3
100%	RocksDB	0.825	1.3
100%	RocksDB	0.827	1.298
100%	RocksDB	0.828	1.298
100%	RocksDB	0.82	1.296
100%	RocksDB	0.827	1.296
100%	RocksDB	0.832	1.295
100%	RocksDB	0.814	1.295
100%	RocksDB	0.826	1.296
100%	RocksDB	0.801	1.296
100%	RocksDB	0.819	1.295
100%	RocksDB	0.815	1.251
100%	RocksDB	0.803	1.294
100%	RocksDB	0.801	1.295
100%	RocksDB	0.804	1.295
100%	RocksDB	0.799	1.295
100%	RocksDB	0.788	1.296
100%	RocksDB	0.785	1.295
100%	RocksDB	0.797	1.295
100%	RocksDB	0.8	1.295
100%	RocksDB	0.794	1.207
100%	RocksDB	0.775	1.218
100%	RocksDB	0.782	1.295
100%	RocksDB	0.79	1.191
100%	RocksDB	0.767	1.282
100%	RocksDB	0.806	1.243
100%	RocksDB	0.804	1.198
100%	RocksDB	0.778	1.295
100%	RocksDB	0.773	1.295
100%	RocksDB	0.779	1.208
100%	RocksDB	0.796	1.295
100%	RocksDB	0.767	1.229
100%	RocksDB	0.751	1.272
100%	RocksDB	0.774	1.282
100%	RocksDB	0.775	1.223
100%	RocksDB	0.769	1.188
100%	RocksDB	0.772	1.295
100%	RocksDB	0.739	1.278
100%	RocksDB	0.747	1.296
100%	RocksDB	0.767	1.295
100%	RocksDB	0.772	1.23
100%	RocksDB	0.758	1.295
100%	RocksDB	0.749	1.228
100%	RocksDB	0.759	1.295
100%	RocksDB	0.748	1.296
100%	RocksDB	0.726	1.296
100%	RocksDB	0.73	1.298
100%	RocksDB	0.713	1.299
100%	RocksDB	0.663	1.295
100%	RocksDB	0.493	1.294
100%	RocksDB	0.406	1.285
100%	RocksDB	0.275	1.115
100%	RocksDB	0.254	0.563
100%	RocksDB	0.258	0.565
100%	RocksDB	0.251	0.564
100%	RocksDB	0.255	0.56
100%	RocksDB	0.251	0.541
100%	RocksDB	0.254	0.511
100%	RocksDB	0.257	0.549
100%	RocksDB	0.249	0.474
100%	RocksDB	0.257	0.565
100%	RocksDB	0.258	0.574
100%	RocksDB	0.251	0.574
100%	RocksDB	0.26	0.574
100%	RocksDB	0.267	0.573
100%	RocksDB	0.259	0.661
100%	RocksDB	0.254	0.578
100%	RocksDB	0.255	0.678
100%	RocksDB	0.281	0.57
100%	RocksDB	0.265	0.566
100%	RocksDB	0.258	0.549
100%	RocksDB	0.255	0.565
100%	RocksDB	0.261	0.528
100%	RocksDB	0.257	0.568
100%	RocksDB	0.253	0.535
100%	RocksDB	0.248	0.563
100%	RocksDB	0.261	0.568
100%	RocksDB	0.253	0.507
100%	RocksDB	0.257	0.561
100%	RocksDB	0.264	0.555
100%	RocksDB	0.263	0.496
100%	RocksDB	0.26	0.498
100%	RocksDB	0.247	0.548
100%	RocksDB	0.263	0.561
100%	RocksDB	0.249	0.508
100%	RocksDB	0.265	0.491
100%	RocksDB	0.261	0.506
100%	RocksDB	0.248	0.564
100%	RocksDB	0.253	0.561
100%	RocksDB	0.255	0.567
100%	RocksDB	0.262	0.515
100%	RocksDB	0.265	0.539
100%	RocksDB	0.255	0.564
100%	RocksDB	0.253	0.5
100%	RocksDB	0.25	0.519
100%	RocksDB	0.255	0.554
100%	RocksDB	0.262	0.52
100%	RocksDB	0.253	0.568
100%	RocksDB	0.258	0.506
100%	RocksDB	0.261	0.568
100%	RocksDB	0.256	0.517
100%	RocksDB	0.254	0.496
100%	RocksDB	0.256	0.521
100%	RocksDB	0.262	0.563
100%	RocksDB	0.252	0.493
100%	RocksDB	0.257	0.558
100%	RocksDB	0.261	0.567
100%	RocksDB	0.256	0.5
100%	RocksDB	0.262	0.507
100%	RocksDB	0.252	0.539
100%	RocksDB	0.254	0.565
100%	RocksDB	0.259	0.553
100%	RocksDB	0.265	0.564
100%	RocksDB	0.267	0.507
100%	RocksDB	0.268	0.487
100%	RocksDB	0.256	0.473
100%	RocksDB	0.258	0.501
100%	RocksDB	0.25	0.519
100%	RocksDB	0.245	0.482
100%	RocksDB	0.25	0.486
100%	RocksDB	0.243	0.495
100%	RocksDB	0.261	0.514
100%	RocksDB	0.256	0.495
100%	RocksDB	0.251	0.483
100%	RocksDB	0.252	0.492
100%	RocksDB	0.249	0.485
100%	RocksDB	0.257	0.542
100%	RocksDB	0.255	0.469
100%	RocksDB	0.253	0.54
100%	RocksDB	0.25	0.54
100%	RocksDB	0.257	0.567
100%	RocksDB	0.258	0.561
100%	RocksDB	0.253	0.493
100%	RocksDB	0.261	0.544
100%	RocksDB	0.254	0.473
100%	RocksDB	0.263	0.564
100%	RocksDB	0.258	0.566
100%	RocksDB	0.249	0.52
100%	RocksDB	0.257	0.496
100%	RocksDB	0.254	0.565
100%	RocksDB	0.255	0.567
100%	RocksDB	0.254	0.565
100%	RocksDB	0.26	0.54
100%	RocksDB	0.256	0.564
100%	RocksDB	0.263	0.567
100%	RocksDB	0.257	0.572
100%	RocksDB	0.257	0.577
100%	RocksDB	0.256	0.568
100%	RocksDB	0.262	0.577
100%	RocksDB	0.267	0.572
100%	RocksDB	0.256	0.566
100%	RocksDB	0.252	0.566
100%	RocksDB	0.249	0.564
100%	RocksDB	0.257	0.551
100%	RocksDB	0.258	0.565
100%	RocksDB	0.257	0.572
100%	RocksDB	0.259	0.573
100%	RocksDB	0.256	0.574
100%	RocksDB	0.256	0.571
100%	RocksDB	0.251	0.566
100%	RocksDB	0.26	0.554
100%	RocksDB	0.255	0.569
100%	RocksDB	0.262	0.572
100%	RocksDB	0.263	0.57
100%	RocksDB	0.252	0.565
100%	RocksDB	0.251	0.566
100%	RocksDB	0.344	1.175
100%	RocksDB	0.746	1.295
100%	RocksDB	0.75	1.294
100%	RocksDB	0.75	1.295
100%	RocksDB	0.752	1.229
100%	RocksDB	0.751	1.24
100%	RocksDB	0.755	1.295
100%	RocksDB	0.747	1.219
100%	RocksDB	0.742	1.229
100%	RocksDB	0.765	1.267
100%	RocksDB	0.753	1.299
100%	RocksDB	0.756	1.335
100%	RocksDB	0.737	1.3
100%	RocksDB	0.747	1.297
100%	RocksDB	0.751	1.296
100%	RocksDB	0.765	1.297
100%	RocksDB	0.74	1.296
100%	RocksDB	0.744	1.214
100%	RocksDB	0.753	1.294
100%	RocksDB	0.741	1.294
100%	RocksDB	0.748	1.295
100%	RocksDB	0.744	1.231
100%	RocksDB	0.754	1.295
100%	RocksDB	0.755	1.295
100%	RocksDB	0.762	1.219
100%	RocksDB	0.733	1.294
100%	RocksDB	0.734	1.259
100%	RocksDB	0.758	1.205
100%	RocksDB	0.747	1.217
100%	RocksDB	0.755	1.295
100%	RocksDB	0.737	1.295
100%	RocksDB	0.751	1.295
100%	RocksDB	0.75	1.207
100%	RocksDB	0.753	1.294
100%	RocksDB	0.748	1.295
100%	RocksDB	0.762	1.211
100%	RocksDB	0.752	1.245
100%	RocksDB	0.737	1.294
100%	RocksDB	0.756	1.224
100%	RocksDB	0.737	1.223
100%	RocksDB	0.76	1.295
100%	RocksDB	0.734	1.294
100%	RocksDB	0.734	1.292
100%	RocksDB	0.754	1.271
100%	RocksDB	0.752	1.209
100%	RocksDB	0.748	1.294
100%	RocksDB	0.732	1.294
100%	RocksDB	0.744	1.294
100%	RocksDB	0.766	1.283
100%	RocksDB	0.738	1.295
100%	RocksDB	0.764	1.295
100%	RocksDB	0.746	1.295
100%	RocksDB	0.753	1.295
100%	RocksDB	0.744	1.295
100%	RocksDB	0.73	1.294
100%	RocksDB	0.744	1.291
100%	RocksDB	0.748	1.294
100%	RocksDB	0.766	1.295
100%	RocksDB	0.722	1.22
100%	RocksDB	0.621	1.224
100%	RocksDB	0.689	1.294
100%	RocksDB	0.738	1.294
100%	RocksDB	0.528	1.217
100%	RocksDB	0.293	1.218
100%	RocksDB	0.251	0.503
100%	RocksDB	0.253	0.549
100%	RocksDB	0.256	0.497
100%	RocksDB	0.253	0.509
100%	RocksDB	0.255	0.492
100%	RocksDB	0.258	0.56
100%	RocksDB	0.252	0.554
100%	RocksDB	0.252	0.479
100%	RocksDB	0.254	0.533
100%	RocksDB	0.253	0.565
100%	RocksDB	0.25	0.571
100%	RocksDB	0.259	0.576
100%	RocksDB	0.258	0.573
100%	RocksDB	0.256	0.571
100%	RocksDB	0.264	0.644
100%	RocksDB	0.265	0.573
100%	RocksDB	0.255	0.575
100%	RocksDB	0.254	0.563
100%	RocksDB	0.261	0.524
100%	RocksDB	0.252	0.547
100%	RocksDB	0.255	0.567
100%	RocksDB	0.257	0.528
100%	RocksDB	0.248	0.563
100%	RocksDB	0.257	0.553
100%	RocksDB	0.25	0.555
100%	RocksDB	0.26	0.535
100%	RocksDB	0.263	0.564
100%	RocksDB	0.245	0.561
100%	RocksDB	0.253	0.501
100%	RocksDB	0.251	0.556
100%	RocksDB	0.247	0.501
100%	RocksDB	0.255	0.558
100%	RocksDB	0.244	0.47
100%	RocksDB	0.243	0.543
100%	RocksDB	0.251	0.479
100%	RocksDB	0.257	0.563
100%	RocksDB	0.243	0.562
100%	RocksDB	0.255	0.54
100%	RocksDB	0.252	0.567
100%	RocksDB	0.259	0.519
100%	RocksDB	0.262	0.568
100%	RocksDB	0.259	0.547
100%	RocksDB	0.256	0.534
100%	RocksDB	0.258	0.513
100%	RocksDB	0.261	0.506
100%	RocksDB	0.251	0.558
100%	RocksDB	0.247	0.561
100%	RocksDB	0.256	0.554
100%	RocksDB	0.254	0.551
100%	RocksDB	0.254	0.545
100%	RocksDB	0.26	0.527
100%	RocksDB	0.248	0.563
100%	RocksDB	0.261	0.559
100%	RocksDB	0.259	0.569
100%	RocksDB	0.258	0.565
100%	RocksDB	0.259	0.496
100%	RocksDB	0.261	0.53
100%	RocksDB	0.241	0.507
100%	RocksDB	0.248	0.535
100%	RocksDB	0.252	0.478
100%	RocksDB	0.261	0.563
100%	RocksDB	0.256	0.503
100%	RocksDB	0.262	0.515
100%	RocksDB	0.263	0.471
100%	RocksDB	0.249	0.482
100%	RocksDB	0.264	0.564
100%	RocksDB	0.252	0.502
100%	RocksDB	0.25	0.539
100%	RocksDB	0.252	0.481
100%	RocksDB	0.245	0.46
100%	RocksDB	0.251	0.503
100%	RocksDB	0.248	0.557
100%	RocksDB	0.249	0.562
100%	RocksDB	0.251	0.474
100%	RocksDB	0.244	0.517
100%	RocksDB	0.256	0.537
100%	RocksDB	0.252	0.494
100%	RocksDB	0.249	0.509
100%	RocksDB	0.255	0.496
100%	RocksDB	0.256	0.535
100%	RocksDB	0.251	0.56
100%	RocksDB	0.246	0.486
100%	RocksDB	0.255	0.467
100%	RocksDB	0.248	0.556
100%	RocksDB	0.256	0.569
100%	RocksDB	0.266	0.566
100%	RocksDB	0.252	0.567
100%	RocksDB	0.253	0.562
100%	RocksDB	0.263	0.569
100%	RocksDB	0.251	0.564
100%	RocksDB	0.25	0.564
100%	RocksDB	0.247	0.52
100%	RocksDB	0.246	0.562
100%	RocksDB	0.259	0.568
100%	RocksDB	0.249	0.701
100%	RocksDB	0.269	0.571
100%	RocksDB	0.256	0.578
100%	RocksDB	0.26	0.574
100%	RocksDB	0.263	0.574
100%	RocksDB	0.256	0.566
100%	RocksDB	0.257	0.566
100%	RocksDB	0.253	0.566
100%	RocksDB	0.255	0.567
100%	RocksDB	0.264	0.578
100%	RocksDB	0.262	0.576
100%	RocksDB	0.254	0.567
100%	RocksDB	0.251	0.566
100%	RocksDB	0.256	0.565
100%	RocksDB	0.256	0.57
100%	RocksDB	0.251	0.565
100%	RocksDB	0.257	0.571
100%	RocksDB	0.258	0.57
100%	RocksDB	0.247	0.569
100%	RocksDB	0.256	0.567
100%	RocksDB	0.248	0.567
100%	RocksDB	0.333	1.265
100%	RocksDB	0.727	1.294
100%	RocksDB	0.776	1.244
100%	RocksDB	0.749	1.278
100%	RocksDB	0.747	1.295
100%	RocksDB	0.751	1.279
100%	RocksDB	0.739	1.295
100%	RocksDB	0.738	1.158
100%	RocksDB	0.75	1.247
100%	RocksDB	0.757	1.299
100%	RocksDB	0.743	1.3
100%	RocksDB	0.741	1.3
100%	RocksDB	0.751	1.299
100%	RocksDB	0.727	1.296
100%	RocksDB	0.724	1.297
100%	RocksDB	0.744	1.295
100%	RocksDB	0.73	1.295
100%	RocksDB	0.728	1.295
100%	RocksDB	0.73	1.295
100%	RocksDB	0.754	1.296
100%	RocksDB	0.741	1.296
100%	RocksDB	0.753	1.294
100%	RocksDB	0.74	1.268
100%	RocksDB	0.748	1.295
100%	RocksDB	0.738	1.278
100%	RocksDB	0.74	1.28
100%	RocksDB	0.736	1.233
100%	RocksDB	0.733	1.225
100%	RocksDB	0.772	1.295
100%	RocksDB	0.751	1.294
100%	RocksDB	0.761	1.295
100%	RocksDB	0.746	1.295
100%	RocksDB	0.751	1.277
100%	RocksDB	0.756	1.295
100%	RocksDB	0.744	1.247
100%	RocksDB	0.737	1.294
100%	RocksDB	0.761	1.295
100%	RocksDB	0.756	1.222
100%	RocksDB	0.743	1.211
100%	RocksDB	0.732	1.295
100%	RocksDB	0.742	1.277
100%	RocksDB	0.739	1.294
100%	RocksDB	0.754	1.241
100%	RocksDB	0.756	1.223
100%	RocksDB	0.754	1.295
100%	RocksDB	0.751	1.295
100%	RocksDB	0.742	1.294
100%	RocksDB	0.753	1.295
100%	RocksDB	0.728	1.22
100%	RocksDB	0.75	1.295
100%	RocksDB	0.762	1.294
100%	RocksDB	0.746	1.238
100%	RocksDB	0.741	1.236
100%	RocksDB	0.744	1.196
100%	RocksDB	0.738	1.267
100%	RocksDB	0.748	1.26
100%	RocksDB	0.732	1.22
100%	RocksDB	0.708	1.234
100%	RocksDB	0.73	1.224
100%	RocksDB	0.735	1.294
100%	RocksDB	0.71	1.294
100%	RocksDB	0.652	1.284
100%	RocksDB	0.562	1.192
100%	RocksDB	0.375	1.188
100%	RocksDB	0.289	1.136
100%	RocksDB	0.252	0.516
100%	RocksDB	0.244	0.475
100%	RocksDB	0.245	0.555
100%	RocksDB	0.253	0.547
100%	RocksDB	0.252	0.561
100%	RocksDB	0.247	0.479
100%	RocksDB	0.252	0.466
100%	RocksDB	0.257	0.566
100%	RocksDB	0.255	0.566
100%	RocksDB	0.262	0.569
100%	RocksDB	0.269	0.678
100%	RocksDB	0.256	0.579
100%	RocksDB	0.266	0.62
100%	RocksDB	0.263	0.579
100%	RocksDB	0.264	0.571
100%	RocksDB	0.26	0.566
100%	RocksDB	0.245	0.564
100%	RocksDB	0.254	0.566
100%	RocksDB	0.254	0.562
100%	RocksDB	0.248	0.562
100%	RocksDB	0.26	0.566
100%	RocksDB	0.248	0.564
100%	RocksDB	0.246	0.562
100%	RocksDB	0.245	0.562
100%	RocksDB	0.254	0.561
100%	RocksDB	0.249	0.561
100%	RocksDB	0.252	0.562
100%	RocksDB	0.26	0.562
100%	RocksDB	0.249	0.514
100%	RocksDB	0.249	0.487
100%	RocksDB	0.249	0.557
100%	RocksDB	0.25	0.545
100%	RocksDB	0.244	0.48
100%	RocksDB	0.255	0.525
100%	RocksDB	0.258	0.568
100%	RocksDB	0.252	0.563
100%	RocksDB	0.246	0.565
100%	RocksDB	0.243	0.563
100%	RocksDB	0.256	0.558
100%	RocksDB	0.266	0.537
100%	RocksDB	0.254	0.564
100%	RocksDB	0.261	0.565
100%	RocksDB	0.245	0.507
100%	RocksDB	0.248	0.568
100%	RocksDB	0.251	0.563
100%	RocksDB	0.259	0.53
100%	RocksDB	0.272	0.565
100%	RocksDB	0.239	0.475
100%	RocksDB	0.252	0.562
100%	RocksDB	0.261	0.568
100%	RocksDB	0.257	0.504
100%	RocksDB	0.257	0.512
100%	RocksDB	0.267	0.564
100%	RocksDB	0.258	0.563
100%	RocksDB	0.255	0.567
100%	RocksDB	0.256	0.51
100%	RocksDB	0.262	0.536
100%	RocksDB	0.247	0.498
100%	RocksDB	0.252	0.491
100%	RocksDB	0.247	0.474
100%	RocksDB	0.255	0.561
100%	RocksDB	0.248	0.494
100%	RocksDB	0.252	0.554
100%	RocksDB	0.257	0.499
100%	RocksDB	0.248	0.473
100%	RocksDB	0.254	0.498
100%	RocksDB	0.251	0.482
100%	RocksDB	0.247	0.503
100%	RocksDB	0.247	0.476
100%	RocksDB	0.253	0.499
100%	RocksDB	0.254	0.478
100%	RocksDB	0.247	0.543
100%	RocksDB	0.251	0.472
100%	RocksDB	0.25	0.49
100%	RocksDB	0.252	0.47
100%	RocksDB	0.26	0.558
100%	RocksDB	0.245	0.56
100%	RocksDB	0.255	0.561
100%	RocksDB	0.254	0.548
100%	RocksDB	0.247	0.525
100%	RocksDB	0.258	0.51
100%	RocksDB	0.257	0.471
100%	RocksDB	0.255	0.565
100%	RocksDB	0.259	0.53
100%	RocksDB	0.251	0.56
100%	RocksDB	0.267	0.564
100%	RocksDB	0.263	0.568
100%	RocksDB	0.252	0.564
100%	RocksDB	0.253	0.561
100%	RocksDB	0.257	0.566
100%	RocksDB	0.261	0.535
100%	RocksDB	0.261	0.564
100%	RocksDB	0.245	0.578
100%	RocksDB	0.254	0.571
100%	RocksDB	0.262	0.574
100%	RocksDB	0.266	0.572
100%	RocksDB	0.261	0.57
100%	RocksDB	0.261	0.567
100%	RocksDB	0.259	0.566
100%	RocksDB	0.254	0.533
100%	RocksDB	0.251	0.564
100%	RocksDB	0.26	0.571
100%	RocksDB	0.26	0.57
100%	RocksDB	0.259	0.572
100%	RocksDB	0.251	0.564
100%	RocksDB	0.263	0.571
100%	RocksDB	0.257	0.569
100%	RocksDB	0.251	0.572
100%	RocksDB	0.253	0.571
100%	RocksDB	0.252	0.571
100%	RocksDB	0.259	0.572
100%	RocksDB	0.262	0.57
100%	RocksDB	0.252	0.567
100%	RocksDB	0.25	0.565
100%	RocksDB	0.251	0.568
100%	RocksDB	0.543	1.229
100%	RocksDB	0.729	1.285
100%	RocksDB	0.761	1.295
100%	RocksDB	0.737	1.227
100%	RocksDB	0.748	1.232
100%	RocksDB	0.754	1.295
100%	RocksDB	0.722	1.295
100%	RocksDB	0.742	1.296
100%	RocksDB	0.759	1.483
100%	RocksDB	0.746	1.3
100%	RocksDB	0.754	1.517
100%	RocksDB	0.742	1.296
100%	RocksDB	0.732	1.298
100%	RocksDB	0.74	1.296
100%	RocksDB	0.759	1.296
100%	RocksDB	0.746	1.296
100%	RocksDB	0.746	1.294
100%	RocksDB	0.741	1.294
100%	RocksDB	0.737	1.295
100%	RocksDB	0.751	1.212
100%	RocksDB	0.73	1.295
100%	RocksDB	0.758	1.295
100%	RocksDB	0.725	1.279
100%	RocksDB	0.735	1.263
100%	RocksDB	0.748	1.294
100%	RocksDB	0.748	1.295
100%	RocksDB	0.732	1.253
100%	RocksDB	0.752	1.287
100%	RocksDB	0.759	1.284
100%	RocksDB	0.752	1.29
100%	RocksDB	0.744	1.231
100%	RocksDB	0.754	1.295
100%	RocksDB	0.753	1.205
100%	RocksDB	0.753	1.294
100%	RocksDB	0.757	1.221
100%	RocksDB	0.729	1.294
100%	RocksDB	0.752	1.295
100%	RocksDB	0.746	1.294
100%	RocksDB	0.748	1.294
100%	RocksDB	0.75	1.295
100%	RocksDB	0.738	1.294
100%	RocksDB	0.732	1.294
100%	RocksDB	0.748	1.295
100%	RocksDB	0.759	1.295
100%	RocksDB	0.756	1.285
100%	RocksDB	0.745	1.234
100%	RocksDB	0.732	1.294
100%	RocksDB	0.756	1.295
100%	RocksDB	0.76	1.295
100%	RocksDB	0.718	1.294
100%	RocksDB	0.726	1.223
100%	RocksDB	0.748	1.294
100%	RocksDB	0.739	1.295
100%	RocksDB	0.755	1.295
100%	RocksDB	0.739	1.294
100%	RocksDB	0.745	1.221
100%	RocksDB	0.655	1.292
100%	RocksDB	0.749	1.294
100%	RocksDB	0.694	1.294
100%	RocksDB	0.748	1.188
100%	RocksDB	0.704	1.236
100%	RocksDB	0.565	1.219
100%	RocksDB	0.62	1.236
100%	RocksDB	0.508	1.206
100%	RocksDB	0.294	1.166
100%	RocksDB	0.253	0.557
100%	RocksDB	0.251	0.561
100%	RocksDB	0.253	0.493
100%	RocksDB	0.254	0.489
100%	RocksDB	0.243	0.513
100%	RocksDB	0.25	0.569
100%	RocksDB	0.251	0.509
100%	RocksDB	0.259	0.651
100%	RocksDB	0.261	0.575
100%	RocksDB	0.251	0.713
100%	RocksDB	0.267	0.628
100%	RocksDB	0.265	0.577
100%	RocksDB	0.259	0.575
100%	RocksDB	0.258	0.566
100%	RocksDB	0.257	0.563
100%	RocksDB	0.254	0.565
100%	RocksDB	0.257	0.567
100%	RocksDB	0.253	0.566
100%	RocksDB	0.252	0.563
100%	RocksDB	0.249	0.544
100%	RocksDB	0.253	0.467
100%	RocksDB	0.257	0.562
100%	RocksDB	0.257	0.522
100%	RocksDB	0.247	0.488
100%	RocksDB	0.257	0.56
100%	RocksDB	0.255	0.567
100%	RocksDB	0.266	0.498
100%	RocksDB	0.266	0.563
100%	RocksDB	0.265	0.532
100%	RocksDB	0.248	0.508
100%	RocksDB	0.25	0.464
100%	RocksDB	0.25	0.487
100%	RocksDB	0.254	0.56
100%	RocksDB	0.255	0.554
100%	RocksDB	0.244	0.561
100%	RocksDB	0.256	0.56
100%	RocksDB	0.261	0.508
100%	RocksDB	0.259	0.565
100%	RocksDB	0.263	0.566
100%	RocksDB	0.265	0.523
100%	RocksDB	0.263	0.509
100%	RocksDB	0.254	0.567
100%	RocksDB	0.259	0.519
100%	RocksDB	0.262	0.491
100%	RocksDB	0.262	0.567
100%	RocksDB	0.266	0.559
100%	RocksDB	0.252	0.544
100%	RocksDB	0.247	0.547
100%	RocksDB	0.259	0.52
100%	RocksDB	0.25	0.556
100%	RocksDB	0.25	0.561
100%	RocksDB	0.252	0.562
100%	RocksDB	0.258	0.56
100%	RocksDB	0.263	0.459
100%	RocksDB	0.26	0.476
100%	RocksDB	0.253	0.497
100%	RocksDB	0.248	0.515
100%	RocksDB	0.262	0.47
100%	RocksDB	0.261	0.502
100%	RocksDB	0.254	0.508
100%	RocksDB	0.251	0.528
100%	RocksDB	0.252	0.462
100%	RocksDB	0.25	0.545
100%	RocksDB	0.25	0.502
100%	RocksDB	0.254	0.507
100%	RocksDB	0.247	0.521
100%	RocksDB	0.247	0.481
100%	RocksDB	0.245	0.491
100%	RocksDB	0.256	0.467
100%	RocksDB	0.258	0.564
100%	RocksDB	0.252	0.529
100%	RocksDB	0.252	0.551
100%	RocksDB	0.261	0.564
100%	RocksDB	0.251	0.565
100%	RocksDB	0.257	0.564
100%	RocksDB	0.253	0.519
100%	RocksDB	0.251	0.49
100%	RocksDB	0.255	0.561
100%	RocksDB	0.251	0.507
100%	RocksDB	0.252	0.496
100%	RocksDB	0.248	0.557
100%	RocksDB	0.256	0.563
100%	RocksDB	0.261	0.487
100%	RocksDB	0.254	0.563
100%	RocksDB	0.26	0.566
100%	RocksDB	0.263	0.568
100%	RocksDB	0.269	0.57
100%	RocksDB	0.253	0.558
100%	RocksDB	0.26	0.567
100%	RocksDB	0.254	0.564
100%	RocksDB	0.265	0.576
100%	RocksDB	0.261	0.575
100%	RocksDB	0.257	0.566
100%	RocksDB	0.26	0.574
100%	RocksDB	0.266	0.606
100%	RocksDB	0.247	0.565
100%	RocksDB	0.25	0.564
100%	RocksDB	0.258	0.566
100%	RocksDB	0.249	0.567
100%	RocksDB	0.258	0.573
100%	RocksDB	0.262	0.576
100%	RocksDB	0.256	0.568
100%	RocksDB	0.255	0.568
100%	RocksDB	0.261	0.568
100%	RocksDB	0.256	0.565
100%	RocksDB	0.258	0.567
100%	RocksDB	0.253	0.567
100%	RocksDB	0.256	0.572
100%	RocksDB	0.252	0.568
100%	RocksDB	0.255	0.565
100%	RocksDB	0.259	0.565
100%	RocksDB	0.255	0.564
100%	RocksDB	0.246	0.564
100%	RocksDB	0.252	0.563
100%	RocksDB	0.479	1.264
100%	RocksDB	0.744	1.271
100%	RocksDB	0.727	1.241
100%	RocksDB	0.741	1.294
100%	RocksDB	0.759	1.276
100%	RocksDB	0.758	1.295
100%	RocksDB	0.757	1.295
100%	RocksDB	0.759	1.495
100%	RocksDB	0.743	1.298
100%	RocksDB	0.764	1.391
100%	RocksDB	0.728	1.298
100%	RocksDB	0.752	1.298
100%	RocksDB	0.759	1.298
100%	RocksDB	0.749	1.295
100%	RocksDB	0.756	1.295
100%	RocksDB	0.735	1.275
100%	RocksDB	0.753	1.295
100%	RocksDB	0.712	1.296
100%	RocksDB	0.735	1.294
100%	RocksDB	0.739	1.296
100%	RocksDB	0.755	1.295
100%	RocksDB	0.748	1.277
100%	RocksDB	0.735	1.294
