ratio	RocksDB	Auto	SILK	CruiseDB	Calcspar
20%	428.7	440.2	453.6	322.2	176.0
40%	452.5	466.7	445.7	420.8	154.3
60%	440.7	457.1	436.0	447.6	159.6
80%	486.1	496.2	468.1	482.7	187.2
100%	473.1	474.6	452.3	551.7	187.4
